Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Shion Honda,2028,expert,https://www.kaggle.com/shionhonda,0,1,5,49,5 years ago,"Tokyo, Tokyo, Japan",10.0,16.0,17,37,1923.0,2047.0,Notebooks Expert
Josué Nascimento,2029,expert,https://www.kaggle.com/josutk,1,3,8,49,5 years ago,"Brasília, Federal District, Brazil",5.0,1.0,13,60,301.0,2048.0,Notebooks Expert
Yash Gupta,2030,expert,https://www.kaggle.com/eryash15,0,0,9,49,4 years ago,"Pune, Maharashtra, India",4.0,11.0,11,107,977.0,2049.0,Datasets Expert
Satyam Prasad Tiwari,2031,expert,https://www.kaggle.com/satyampd,0,2,7,49,4 years ago,"Bengaluru, Karnataka, India",2.0,4.0,16,894,719.0,2050.0,Datasets Expert
Ilu,2032,expert,https://www.kaggle.com/ilu000,1,4,7,49,4 years ago,"Cologne, North Rhine-Westphalia, Germany",58.0,31.0,19,874,164.0,2051.0,Competitions Grandmaster
Sh1r0,2033,expert,https://www.kaggle.com/pegasos,0,4,1,49,3 years ago,"Tokyo, Tokyo, Japan",23.0,8.0,6,19,1390.0,2052.0,Competitions Expert
Achintya Tripathi,2034,expert,https://www.kaggle.com/achintyatripathi,0,2,13,49,3 years ago,"Noida, Uttar Pradesh, India",1.0,3.0,18,235,329.0,2053.0,Datasets Expert
Faseeh001,2035,expert,https://www.kaggle.com/faseeh001,0,0,6,49,3 years ago,"Hyderabad, Telangana, India",1.0,3.0,6,21,1940.0,2055.0,Datasets Expert
yashtiwari1906,2036,expert,https://www.kaggle.com/yashtiwari1906,0,4,6,49,3 years ago,"Varanasi, Uttar Pradesh, India",1.0,11.0,16,9,343.0,2057.0,Datasets Expert
Bhavik,2037,expert,https://www.kaggle.com/bhavikjain,0,2,7,49,3 years ago,"Varanasi, Uttar Pradesh, India",7.0,2.0,25,69,580.0,2098.0,Notebooks Expert
Arjun Prasad Sarkhel,2038,expert,https://www.kaggle.com/arjunprasadsarkhel,0,0,8,49,3 years ago,"Kolkata, West Bengal, India",14.0,6.0,12,330,1324.0,2058.0,Datasets Expert
Neeresh Kumar,2039,expert,https://www.kaggle.com/neereshkumar,0,0,6,49,3 years ago,"Hyderabad, Telangana, India",,,7,51,1874.0,2059.0,Notebooks Expert
houcem benmansour,2040,expert,https://www.kaggle.com/houcembenmansour,0,3,3,49,3 years ago,,1.0,2.0,5,147,764.0,2060.0,Notebooks Expert
myominhtet,2041,expert,https://www.kaggle.com/myominhtet,0,0,5,49,3 years ago,"Mandalay, Mandalay Region, Myanmar (Burma)",2.0,,11,26,2029.0,2103.0,Notebooks Expert
Đặng Duy Thanh,2042,expert,https://www.kaggle.com/duythanhng,0,0,10,49,3 years ago,"Hanoi, Hanoi, Vietnam",23.0,9.0,24,14,861.0,2107.0,Notebooks Expert
Abhijit Singh,2043,expert,https://www.kaggle.com/abhijitsingh001,0,1,10,49,2 years ago,"Durgapur, West Bengal, India",8.0,1.0,21,96,980.0,2062.0,Notebooks Expert
Vishvanath Metkari,2044,expert,https://www.kaggle.com/ervishvanathmetkari,0,0,6,49,2 years ago,"Pune, Maharashtra, India",2.0,16.0,15,28,1902.0,2064.0,Notebooks Expert
IAbhishekBhardwaj,2045,expert,https://www.kaggle.com/iabhishekbhardwaj,0,1,7,49,2 years ago,"New Delhi, Delhi, India",,3.0,6,168,711.0,2065.0,Datasets Expert
Saadman Sakib,2046,expert,https://www.kaggle.com/saadmansakib,0,1,4,49,2 years ago,"Khulna, Khulna Division, Bangladesh",,1.0,5,14,1897.0,2066.0,Notebooks Expert
Fariz Rizky Haykal Abdillah,2047,expert,https://www.kaggle.com/farizhaykal,0,0,6,49,2 years ago,"South Tangerang, Banten, Indonesia",5.0,,10,38,1002.0,2111.0,Notebooks Expert
Atom,2048,expert,https://www.kaggle.com/dextermojo,0,1,7,49,2 years ago,"Auckland, Auckland, New Zealand",5.0,,15,21,1524.0,2112.0,Notebooks Expert
